H;X1;X2;X3;X4;X5;X6;X7;X8;q;sds;v2;x1;s1;gama;c;fi;hw;fss
6;5,1;1,27;0,35;0,3;0,9;0,77;1,27;1,78;5;0,9;3,48;1,67;120,0;19;20;30;11,1;1,838029728
4;5,6;0,84;0,4;0,3;0,44;0,31;1,4;2,24;20;1,3;4,36;0,75;40,0;20;0;36;0,0;0,67333116
9;4,95;1,49;0,5;0,3;0,63;0,63;1,49;1,98;5;1,1;2,96;1,26;45,0;19;20;30;9,0;1,355461615
4;8,6;3,01;0,4;0,3;0,48;0,1;1,72;3,01;15;1,1;5,19;0,58;40,0;20;0;36;8,3;1,326691777
10;3,5;0,88;0,5;0,5;1,6;0,4;0,88;0,35;0;1,7;2,12;2,0;0,0;18;30;26;5,0;1,00597253
4;9,8;1,96;0,55;0,55;0,24;0,29;1,96;1,96;15;0,8;7,29;0,53;0,0;19;20;30;8,9;2,161197283
7;2,8;1,26;0,3;0,3;0,84;0,67;0,56;0,84;15;1,8;1,24;1,51;0,0;19;20;30;8,4;1,208294471
9;4,05;1,42;0,6;0,6;0,72;0,4;1,21;0,41;20;1,8;2,03;1,12;0,0;20;0;40;11,025;0,921510313
6;3,6;1,26;0,35;0,35;0,6;0,36;0,18;0,72;15;0,8;1,99;0,96;0,0;18;30;26;0,0;1,212982809
7;4,2;0,63;0,5;0,4;0,98;1,18;0,63;1,05;10;1,1;3,07;2,16;70,0;18;30;26;3,5;1,458194294
8;2,4;0,36;0,5;0,5;0,72;0,14;0,24;1,56;0;0,7;1,54;0,86;0,0;20;0;40;8,0;1,362639338
4;3,2;1,28;0,6;0,35;0,56;0,45;0,96;0,32;5;0,6;1,32;1,01;16,0;18;30;26;5,6;2,735811962
4;8,4;2,1;0,4;0,3;0,68;0,48;1,26;3,78;15;0,7;5,9;1,16;40,0;19;20;30;12,4;2,279085007
9;3,6;0,54;0,4;0,35;1,08;0,16;0,36;0,18;20;1,5;2,66;1,24;180,0;17;40;20;0,0;0,943358999
8;8,8;3,52;0,4;0,35;0,88;0,04;2,2;2,64;10;1,6;4,88;0,92;160,0;20;0;40;16,8;1,065908162
6;10,0;4,5;0,3;0,3;0,96;0,86;0,5;5,5;5;1,7;5,2;1,82;0,0;20;0;40;3,0;0,921033936
6;8,4;3,36;0,6;0,3;0,36;0,04;2,52;1,26;0;1,2;4,44;0,4;20,0;18;30;26;14,4;1,777616689
6;8,1;2,43;0,6;0,3;1,08;0,0;0,0;0,0;15;1,8;5,07;1,08;20,0;20;0;40;10,05;1,186874449
7;4,2;1,05;0,45;0,35;0,42;0,0;0,0;0,0;0;0,8;2,7;0,42;70,0;19;20;30;9,1;1,692167795
4;6,6;1,65;0,3;0,3;0,48;0,46;1,32;0,99;10;1,5;4,65;0,94;0,0;20;0;36;10,6;1,171690392
7;8,75;3,5;0,35;0,35;1,12;1,34;0,44;6,12;0;1,3;4,9;2,46;0,0;19;20;30;0,0;0,993441488
7;9,8;3,43;0,3;0,3;1,05;0,73;0,49;5,88;15;1,0;6,07;1,78;0,0;18;30;26;16,8;1,739736109
4;10,0;4,5;0,4;0,35;0,32;0,37;2,5;7,0;20;0,7;5,1;0,69;80,0;20;0;36;14,0;1,514431065
5;8,75;1,31;0,3;0,3;0,7;0,17;2,62;0,0;5;0,8;7,14;0,87;0,0;17;40;20;0,0;1,687826174
9;9,0;3,15;0,4;0,4;0,72;0,86;0,45;4,05;15;1,1;5,45;1,58;0,0;20;0;36;4,5;0,845407578
7;9,1;2,73;0,6;0,5;0,91;0,5;0,46;3,64;10;1,7;5,77;1,41;70,0;20;0;36;16,1;1,035125268
7;10,0;3,0;0,6;0,35;1,26;0,63;0,5;1,5;0;1,2;6,4;1,89;28,0;20;0;36;17,0;1,379863413
4;2,8;0,42;0,55;0,45;0,44;0,22;0,14;0,28;20;1,1;1,83;0,66;40,0;20;0;40;4,0;1,298463117
4;9,2;1,84;0,5;0,3;0,52;0,62;2,76;3,68;5;0,7;6,86;1,14;20,0;17;40;20;4,0;2,54903196
7;4,9;1,72;0,5;0,4;0,91;1,09;0,74;1,72;10;0,9;2,68;2,0;70,0;20;0;40;3,5;1,114515898
8;6,8;2,72;0,45;0,4;1,36;1,63;1,02;0,34;15;1,0;3,63;2,99;160,0;20;0;36;0,0;0,772967661
4;6,0;1,8;0,4;0,35;0,72;0,0;0,0;0,0;10;1,4;3,8;0,72;80,0;20;0;36;2,0;0,982266368
7;8,05;2,42;0,6;0,35;0,84;0,88;2,42;1,61;0;1,2;5,03;1,72;28,0;17;40;20;3,5;1,46487732
10;7,0;1,4;0,55;0,3;1,7;0,51;0,7;0,7;10;1,6;5,05;2,21;40,0;18;30;26;10,0;1,214888482
9;9,45;2,83;0,4;0,4;0,81;0,2;0,94;6,61;0;1,0;6,22;1,01;0,0;17;40;20;13,725;1,605474598
10;7,0;2,45;0,3;0,3;0,9;0,27;0,7;3,85;20;1,6;4,25;1,17;0,0;19;20;30;17,0;1,131202178
6;7,2;1,08;0,3;0,3;0,72;0,14;1,8;2,16;5;1,7;5,82;0,86;0,0;20;0;36;6,0;0,883738235
6;5,4;1,35;0,55;0,5;1,08;1,08;0,54;1,62;10;0,9;3,5;2,16;120,0;17;40;20;6,0;1,99751846
8;9,6;1,92;0,35;0,35;0,8;0,24;0,48;2,88;0;0,7;7,33;1,04;0,0;17;40;20;8,0;1,844355984
8;2,4;0,6;0,5;0,3;0,88;0,44;0,6;1,44;5;1,7;1,3;1,32;40,0;18;30;26;8,0;1,255677956
6;2,1;0,32;0,5;0,3;0,96;0,19;0,11;1,16;0;0,6;1,28;1,15;30,0;20;0;40;8,1;1,661849734
5;5,5;1,38;0,55;0,3;0,45;0,05;1,1;1,1;15;0,8;3,57;0,5;20,0;19;20;30;2,5;1,59974735
4;4,8;1,92;0,6;0,55;0,72;0,4;0,96;2,88;15;0,7;2,28;1,12;80,0;18;30;26;8,8;2,424256337
4;8,4;2,1;0,55;0,3;0,36;0,38;1,26;0,42;15;1,1;5,75;0,74;16,0;20;0;36;4,0;1,171604708
6;10,0;1,5;0,35;0,3;1,08;0,43;1,5;6,0;10;1,0;8,15;1,51;120,0;20;0;40;16,0;1,72826645
6;6,9;2,76;0,35;0,3;0,42;0,29;1,38;1,04;5;1,7;3,79;0,71;120,0;20;0;40;6,0;0,969901328
6;7,2;1,08;0,5;0,5;0,78;0,12;1,08;1,8;5;0,7;5,62;0,9;0,0;18;30;26;9,6;2,144000477
6;7,8;3,12;0,45;0,35;0,66;0,3;1,95;5,46;0;0,6;4,23;0,96;60,0;18;30;26;6,0;2,161602089
10;6,5;1,62;0,6;0,55;1,6;0,56;1,95;1,62;15;1,4;4,28;2,16;200,0;17;40;20;10,0;1,199125759
8;7,2;1,44;0,45;0,45;0,96;0,96;1,8;0,72;10;0,8;5,31;1,92;0,0;18;30;26;8,0;1,722992849
10;9,5;3,8;0,35;0,35;0,7;0,28;0,95;3,33;15;0,8;5,35;0,98;0,0;17;40;20;5,0;1,307603787
6;4,8;1,2;0,55;0,45;0,78;0,55;0,24;0,48;15;1,6;3,05;1,33;60,0;17;40;20;8,4;1,549455899
6;8,1;1,62;0,3;0,3;0,36;0,04;0,41;5,27;20;1,3;6,18;0,4;0,0;17;40;20;6,0;1,595028559
5;4,25;1,27;0,35;0,3;0,45;0,45;0,43;2,55;20;1,7;2,63;0,9;100,0;20;0;36;2,5;0,718230371
5;4,25;1,91;0,5;0,5;0,4;0,12;1,06;1,7;15;0,7;1,84;0,52;0,0;19;20;30;0,0;1,14895349
4;6,2;0,93;0,5;0,5;0,4;0,26;1,86;0,93;10;1,1;4,77;0,66;0,0;19;20;30;0,0;1,383325563
7;6,65;2,33;0,45;0,35;0,7;0,52;0,67;4,65;0;0,8;3,87;1,22;70,0;18;30;26;3,5;1,612353563
9;3,6;0,72;0,35;0,35;0,99;0,45;0,72;1,8;20;1,3;2,53;1,44;0,0;17;40;20;10,8;1,385588136
6;4,2;1,05;0,3;0,3;1,02;0,46;1,26;2,73;0;1,6;2,85;1,48;0,0;20;0;40;6,0;1,16751387
10;5,0;1,5;0,35;0,35;1,1;1,16;0,5;3,25;0;1,7;3,15;2,26;0,0;18;30;26;5,0;0,969637074
9;6,75;2,36;0,45;0,35;1,08;0,97;1,01;3,04;5;0,7;3,94;2,05;90,0;20;0;36;12,375;1,385867338
5;4,5;1,12;0,3;0,3;0,75;0,26;1,12;2,03;15;0,7;3,08;1,01;0,0;17;40;20;9,5;2,280799925
4;8,4;2,94;0,35;0,35;0,64;0,77;0,42;5,04;10;0,6;5,11;1,41;0,0;18;30;26;12,4;2,642212581
7;8,75;1,31;0,6;0,35;0,84;0,29;2,62;0,0;20;1,0;6,84;1,13;28,0;18;30;26;15,75;1,719971163
10;10,0;2,0;0,3;0,3;1,2;0,36;1,5;1,0;15;0,8;7,7;1,56;0,0;18;30;26;15,0;1,605408279
5;6,5;0,97;0,4;0,35;0,45;0,0;0,0;0,0;5;1,0;5,13;0,45;100,0;20;0;36;8,25;1,363760173
6;2,4;0,48;0,35;0,35;0,96;0,38;0,72;1,44;15;1,7;1,57;1,34;0,0;17;40;20;7,2;1,447666083
7;2,1;0,73;0,6;0,55;0,42;0,15;0,63;0,73;10;1,7;0,77;0,57;140,0;17;40;20;0,0;1,057399916
5;2,25;0,56;0,55;0,55;0,7;0,77;0,45;0,56;10;1,6;1,14;1,47;0,0;20;0;40;6,125;1,069639901
6;2,4;0,48;0,5;0,35;0,9;0,09;0,36;1,68;20;1,0;1,42;0,99;40,0;17;40;20;0,0;1,296371024
8;4,0;1,2;0,4;0,35;1,28;1,09;0,2;1,2;15;1,0;2,4;2,37;160,0;19;20;30;8,0;1,524057959
4;9,8;3,43;0,35;0,3;0,36;0,22;0,98;5,88;10;0,7;6,02;0,58;80,0;17;40;20;0,0;1,969251513
10;8,5;3,83;0,6;0,4;1,1;0,49;0,85;2,97;15;1,8;4,07;1,59;50,0;20;0;40;5,0;0,847349335
5;6,75;1,69;0,4;0,3;0,7;0,31;1,69;3,37;15;1,6;4,66;1,01;50,0;20;0;40;2,5;0,917889297
8;10,0;1,5;0,35;0,35;0,88;0,26;1,0;1,0;10;0,8;8,15;1,14;0,0;18;30;26;4,0;1,483676763
5;5,25;2,1;0,55;0,55;0,8;0,04;1,57;1,84;0;0,9;2,6;0,84;0,0;18;30;26;7,625;2,259395945
5;3,0;0,6;0,4;0,3;0,55;0,39;0,15;0,45;15;1,4;2,0;0,94;50,0;17;40;20;0,0;1,401690417
10;6,0;2,1;0,45;0,45;0,9;0,4;1,2;0,0;5;0,6;3,45;1,3;0,0;20;0;40;10,0;1,589861882
4;5,0;1,25;0,35;0,3;0,56;0,59;0,5;0,0;20;1,6;3,4;1,15;80,0;17;40;20;4,0;1,723772615
